Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
16138,ME430,ME,430,2216,20,2014,24,22,MTR/1-2/C111,R at 1pm in TBA,burchett,4,1
16139,ME422,ME,422,2214,20,2014,36,30,MTRF/3/O103,M at 8am in TBA,jones5,4,1
16140,ME430,ME,430,2218,20,2014,28,22,MTR/7-8/C111,R at 1pm in TBA,fisherds,4,3
16141,ME471,ME,471,2223,20,2014,16,20,M/10/O167:W/1-3/O169,,chambez,3,3
16142,ME430,ME,430,2219,20,2014,27,22,MTR/5-6/C111,R at 1pm in TBA,olson1,4,4
16143,ME430,ME,430,2217,20,2014,25,22,MTR/3-4/C111,R at 1pm in TBA,burchett,4,2
16144,ME471,ME,471,2221,20,2014,14,20,M/TBA/O169:TBA/TBA/LAB,,gibson,3,1
16145,ME471,ME,471,2222,20,2014,20,40,M/10/O159:W/7-9/O257,,brackin,3,2
16146,ME471,ME,471,2226,20,2014,4,4,M/10/O257:W/1-3/O267,,mccormac,3,6
16147,ME471,ME,471,2225,20,2014,20,20,M/10/O231:W/7-9/O267,,mirth,3,5
16148,ME472,ME,472,2228,20,2014,16,24,T/10/O267:W/4-6/O267,,brackin,3,1
16149,ME471,ME,471,2227,20,2014,16,20,M/10/O257:W/7-9/O259,,mccormac,3,7
16150,ME471,ME,471,2655,20,2014,24,25,M/TBA/O169:TBA/TBA/LAB,,gibson,3,8
16151,ME472,ME,472,2592,20,2014,11,15,T/10/O267:W/4-6/O267,,chambez,3,2
16152,ME471,ME,471,2224,20,2014,20,20,M/10/O167:W/7-9/O169,,chambez,3,4
16153,ME490,ME,490,2606,20,2014,1,1,TBA,,gibson,2,1
16154,ME490,ME,490,2678,20,2014,1,1,TBA,,moorhead,2,4
16155,ME497,ME,497,2229,20,2014,8,30,MTRF/2/M103,,layton,4,1
16156,ME497,ME,497,2605,20,2014,1,1,TBA,,bernala,2,4
16157,ME497,ME,497,2588,20,2014,1,1,TBA,,kawano,1,3
16158,ME490,ME,490,2633,20,2014,1,1,TBA,,burchett,2,2
16159,ME490,ME,490,2637,20,2014,1,1,TBA,,burchett,2,3
16160,ME497,ME,497,2581,20,2014,1,1,TBA/TBA/TBA,,haan,2,2
16161,ME510,ME,510,2230,20,2014,17,30,MTRF/8/M115,W at 6pm in TBA,richards,4,1
16162,ME512,ME,512,2231,20,2014,19,30,MTRF/7/G220,M at 6pm in TBA,gibson,4,1
16163,ME590,ME,590,2636,20,2014,1,1,TBA,,chambez,2,3
16164,ME590,ME,590,2644,20,2014,1,1,TBA,,burchett,1,4
16165,ME590,ME,590,2560,20,2014,1,1,TBA,,gibson,1,1
16166,ME526,ME,526,2528,20,2014,2,30,MTRF/4/O157,,mech,4,1
16167,ME497,ME,497,2671,20,2014,1,1,TBA/TBA/TBA,,bernala,2,5
16168,ME590,ME,590,2625,20,2014,1,1,TBA,,mech,4,2
16169,ME597,ME,597,2534,20,2014,1,30,MTRF/2/M103,,layton,4,1
16170,ME597,ME,597,2548,20,2014,2,5,TBA/TBA/TBA,,chambez,2,2
16171,MS402,MS,402,2518,20,2014,6,25,W/6-8/G315:W/9-1730/TBA,,freidhof,4,1
16172,ME590,ME,590,2656,20,2014,1,1,TBA,,gibson,1,5
16173,MS302,MS,302,2517,20,2014,4,25,W/6-8/G313:W/9-1730/TBA,,zoleske,4,1
16174,ME597,ME,597,2549,20,2014,1,5,TBA/TBA/TBA,,chambez,2,3
16175,MS102,MS,102,2515,20,2014,4,25,W/8/G310:W/9-1730/TBA,,wilson2,1,1
16176,MS202,MS,202,2516,20,2014,10,25,W/7-8/G308:W/9-1730/TBA,,cinocco,2,1
16177,OE290,OE,290,2545,20,2014,1,1,TBA,,duree,2,1
16178,OE435,OE,435,2508,20,2014,4,24,MTRF/7/D112,M at 8am in TBA,bunch,4,1
16179,OE290,OE,290,2603,20,2014,2,1,TBA,,duree,2,2
16180,OE417,OE,417,2502,20,2014,8,24,M/9-10/D112:TR/8-10/DL115,,leisher&liptak&kirkpat2,4,1
16181,OE393,OE,393,2500,20,2014,12,28,MTRF/5/CL119:W/7-9/DL117,M at 1pm in TBA,bunch,4,1
16182,OE290,OE,290,2645,20,2014,1,1,TBA,,duree,1,3
16183,OE280,OE,280,2499,20,2014,13,28,MTRF/7/M107:W/7-9/CL118,T at 1pm in TBA,leisher,4,1
16184,OE585,OE,585,2507,20,2014,5,24,MTR/1/DL119:W/1-3/DL115,W at 8am in TBA,granieri,4,1
16185,OE570,OE,570,2594,20,2014,1,1,TBA/TBA/TBA,,duree,2,2
16186,OE535,OE,535,2537,20,2014,4,24,MTRF/7/D112,M at 8am in TBA,bunch,4,1
16187,OE485,OE,485,2506,20,2014,8,24,MTR/1/DL119:W/1-3/DL115,W at 8am in TBA,granieri,4,1
16188,OE490,OE,490,2587,20,2014,1,1,TBA,,leisher,1,1
16189,OE570,OE,570,2510,20,2014,6,24,MR/6/CL119,,duree,2,1
16190,OE599,OE,599,2565,20,2014,1,1,TBA,,leisher,8,1
16191,OE599,OE,599,2664,20,2014,1,1,TBA,,siahmako,4,8
16192,OE599,OE,599,2641,20,2014,1,1,TBA,,leisher,8,3
16193,OE599,OE,599,2652,20,2014,1,1,TBA,,joenatha,4,7
16194,OE599,OE,599,2648,20,2014,1,1,TBA,,bunch,6,4
16195,OE599,OE,599,2593,20,2014,1,1,TBA,,granieri,1,2
16196,OE599,OE,599,2650,20,2014,1,1,TBA,,siahmako,2,6
16197,OE599,OE,599,2649,20,2014,1,1,TBA,,joenatha,4,5
16198,PH111,PH,111,2450,20,2014,30,26,MTR/1-2/O169,T at 6pm in TBA,letfulli,4,1
16199,PH112,PH,112,2457,20,2014,24,28,MTRF/5/O233,T at 6pm in TBA,letfulli,4,5
16200,PH112,PH,112,2454,20,2014,29,28,MTRF/2/O205,T at 6pm in TBA,wagner,4,2
